Message,Category
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",ham
"I've got  &lt;#&gt; , any way I could pick up?",ham
Maybe you should find something else to do instead???,ham
Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,ham
Ok lor. I'm in town now lei.,ham
"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",ham
"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)",ham
PS U no ur a grown up now right?,ham
"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)",ham
Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,ham
And of course you should make a stink!,ham
"welcome vanessa, recent changes with your account require additional assistance. and see the following today : www. verify - via. com / actions",spam
You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,ham
Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,ham
Then she dun believe wat?,ham
"That's the trouble with classes that go well - you're due a dodgey one … Expecting mine tomo! See you for recovery, same time, same place",ham
Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,ham
I'm fine. Hope you are also,ham
Ha ha ha good joke. Girls are situation seekers.,ham
I'm at home. Please call,ham
"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me",ham
security detected your transactions on the account. also verify your details on clicking into the following link : www. name - check. ca / details,spam
Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,spam
I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,ham
your balance book [ service name ] has got locked due and heavy use. boost your authentication then unlock it : new. service - info. com / unlock,spam
Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,ham
Have you laid your airtel line to rest?,ham
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,ham
Aight ill get on fb in a couple minutes,ham
"Geeeee ... Your internet is really bad today, eh ?",ham
Ok going to sleep. Hope i can meet her.,ham
What you doing?how are you?,ham
Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,ham
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham
When you are big..| God will bring success.,ham
PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04,spam
What time you thinkin of goin?,ham
One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -,ham
Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,ham
No. But we'll do medical missions to nigeria,ham
Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,ham
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,spam
How r ü going to send it to me?,ham
You still at grand prix?,ham
So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.,ham
But i'm surprised she still can guess right lor...,ham
"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.",ham
I have to take exam with in march 3,ham
Yup song bro. No creative. Neva test quality. He said check review online.,ham
important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam
Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,ham
"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word",ham
Sounds great! Are you home now?,ham
3. You have received your mobile content. Enjoy,spam
I am not at all happy with what you saying or doing,ham
Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,ham
Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,ham
Once free call me sir. I am waiting for you.,ham
Am slow in using biola's fne,ham
Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,ham
I AM AT THE GAS STATION. GO THERE.,ham
Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL,spam
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",ham
Of course. I guess god's just got me on hold right now.,ham
"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",ham
Ok then no need to tell me anything i am going to sleep good night,ham
"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit",ham
"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",ham
"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",ham
Ü dun need to pick ur gf?,ham
"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",ham
"a check is paid by your checking, plus the funds are on location connected to a bank check. list the transaction here : customer. payment - gateway. com / verify",spam
Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-),ham
tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,spam
"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",ham
"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx",ham
She's good. How are you. Where r u working now,ham
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham
I cant pick the phone right now. Pls send a message,ham
I am great! How are you?,ham
a litigation had been raised against this computer. resolve this issue by logging in through the provided source : site. list - maker. com / resolve,spam
"Nah, I'm a perpetual DD",ham
ok. I am a gentleman and will treat you with dignity and respect.,ham
Ard 515 like dat. Y?,ham
Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,ham
Gud mrng dear have a nice day,ham
Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,ham
"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",ham
"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?",ham
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",ham
"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!",ham
Do you like shaking your booty on the dance floor?,ham
Yes:)here tv is always available in work place..,ham
You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!,ham
"dear seller, we are pleased can inform you that the invoice related to the request concerning another female jane doe possesses been successfully processed. to complete the identification, and kindly ask you to confirm your profile. this comprises an immediate step to ensure all your details keep up to date.",spam
Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:),ham
I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?,ham
when you and derek done with class?,ham
"Trust me. Even if isn't there, its there.",ham
"Sorry, I'll call later",ham
"K, can I pick up another 8th when you're done?",ham
Am going to take bath ill place the key in window:-),ham
Otherwise had part time job na-tuition..,ham
"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468",spam
How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,ham
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam
"Two fundamentals of cool life: ""Walk, like you are the KING""...! OR ""Walk like you Dont care,whoever is the KING""!... Gud nyt",ham
Yeah. I got a list with only u and Joanna if I'm feeling really anti social,ham
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham
I'm putting it on now. It should be ready for  &lt;TIME&gt;,ham
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,ham
2 laptop... I noe infra but too slow lar... I wan fast one,ham
He remains a bro amongst bros,ham
Some of them told accenture is not confirm. Is it true.,ham
Lmao!nice 1,ham
Big brother‘s really scraped the barrel with this shower of social misfits,ham
As usual u can call me ard 10 smth.,ham
Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp £1.50/msg,spam
"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola",ham
K k pa Had your lunch aha.,ham
Don know..wait i will check it.,ham
No. I.ll meet you in the library,ham
"dear readers, recent threats from our blog require additional notification. please complete the account today : www. verify - site. com / details",spam
U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,ham
"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",ham
Nope... Juz off from work...,ham
My sister cleared two round in birla soft yesterday.,ham
"If e timing can, then i go w u lor...",ham
Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please....,ham
Cps is causing the outages to conserve energy.,ham
Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,ham
Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,ham
Which is weird because I know I had it at one point,ham
Thanks for ve lovely wisheds. You rock,ham
"That's good, because I need drugs",ham
PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),ham
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,spam
"Cool, what time you think you can get here?",ham
Holy living christ what is taking you so long,ham
"our seller, we may have to inform you that today if 1 april new platform fully came into force and now all groups act subject to strict procedure. a customer named maria perez has successfully paid for an order on your account.",spam
We have to pick rayan macleran there.,ham
Can not use foreign stamps in this country.,ham
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,spam
"dear seller, we are pleased to inform it that the invoice related to the request from stock purchaser jane reilly has been successfully processed. to replicate this process, we can ask it to confirm your profile. disclosure is an important step to ensuring all your calls are up to date.",spam
Pls go there today  &lt;#&gt; . I dont want any excuses,ham
Tell rob to mack his gf in the theater,ham
"I'm outside islands, head towards hard rock and you'll run into me",ham
U still havent got urself a jacket ah?,ham
Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,ham
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",spam
"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",spam
K. I will sent it again,ham
"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ?",ham
FROM 88066 LOST £12 HELP,spam
Kallis wont bat in 2nd innings.,ham
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam
"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",ham
Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,ham
I see a cup of coffee animation,ham
Wat time ü finish?,ham
I thank you so much for all you do with selflessness. I love you plenty.,ham
I pocked you up there before,ham
Are you driving or training?,ham
"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...",ham
G wants to know where the fuck you are,ham
"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records",spam
Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,ham
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",ham
This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,ham
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam
your listing finds this platform ″ s guidelines and cannot be incorrect. update your linked information to do this : site. site - update. com / profile,spam
You have an important customer service announcement from PREMIER.,spam
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",ham
"dear seller, its account has been immediately cancelled due to visa verification. please confirm your message on clicking one link : contact. verification - site. com / confirm",spam
Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!,ham
K:)k.are you in college?,ham
"dear reader, we would like into inform you that as around 1 april new platform processes came into force and currently all channels are subject to such procedure. a customer mr maria martinez has successfully paid you an order on your shop.",spam
So i'm doing a list of buyers.,ham
Gettin rdy to ship comp,ham
On ma way to school. Can you pls send me ashley's number,ham
"now, you have won $ 30! confirm your identity and claim another prize while clicking through password :",spam
"GOD ASKED, ""What is forgiveness?"" A little child gave lovely reply, ""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......",ham
See? I thought it all through,ham
one new email has arrived however cannot be delivered unless to a full ban. end date or increase the time limit : com. email - portal. com / upgrade,spam
"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",spam
Hey company elama po mudyadhu.,ham
Haha... They cant what... At the most tmr forfeit... haha so how?,ham
Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,ham
Then she buying today? Ü no need to c meh...,ham
Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham
Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,ham
"Dude u knw also telugu..thts gud..k, gud nyt..",ham
an account may be deleted due its use of activity limits. engage via connection or avoid deactivation : www. guideline - update. pdf / verify,spam
K...k:)why cant you come here and search job:),ham
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam
Don know..he is watching film in computer..,ham
Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,ham
Should I head straight there or what,ham
Aight should I just plan to come up later tonight?,ham
"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",ham
As in different styles?,ham
Oops. 4 got that bit.,ham
MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.,ham
Ok,ham
Reverse is cheating. That is not mathematics.,ham
Da is good good player.why he is unsold.,ham
K.k:)apo k.good movie.,ham
Anything lor is she coming?,ham
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam
Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,ham
Hello! Good week? Fancy a drink or something later?,ham
Just nw i came to hme da..,ham
My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:),ham
I have a sore throat. It's scratches when I talk,ham
"check user, recent numbers marking your day need additional verification. so continue the process under : contact. verify - user. com / actions",spam
Call me when you get the chance plz &lt;3,ham
Thankyou so much for the call. I appreciate your care.,ham
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam
Its a great day. Do have yourself a beautiful one.,ham
your buyer is ready of purchase their item but will proceed before your account gets verified. log this here : yahoo. buyer - accounts. com /...,spam
"As usual..iam fine, happy &amp; doing well..:)",ham
At home also.,ham
Finished class where are you.,ham
"Aight, you close by or still down around alex's place?",ham
For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham
"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONT LIKE ME LIKE THAT SO DONT WORRY.",ham
Ha ha cool cool chikku chikku:-):-DB-),ham
Havent still waitin as usual... Ü come back sch oredi?,ham
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam
"Sorry, I can't help you on this.",ham
Or i go home first lar ü wait 4 me lor.. I put down my stuff first..,ham
Ha ha - had popped down to the loo when you hello-ed me. Hello!,ham
Still otside le..u come 2morrow maga..,ham
"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",spam
"Sounds good, keep me posted",ham
Oh that was a forwarded message. I thought you send that to me,ham
Am I the only one who doesn't stalk profiles?,ham
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,ham
Lol ok your forgiven :),ham
1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,ham
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham
"a customer has subscription towards your product, however the funds are on hold due in a credit check. confirm the product website : cyber. cyber - gateway. com / view",spam
TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,spam
Do you like Italian food?,ham
Can a not?,ham
Oh k k:)but he is not a big hitter.anyway good,ham
K k :-):-) then watch some films.,ham
"Sorry, I'll call later",ham
"their customer has paid upon your deposit, indicating the funds are off schedule according to a security check. confirm the transaction via : post. payment - gateway. ca / verify",spam
Will purchase d stuff today and mail to you. Do you have a po box number?,ham
Mom wants to know where you at,ham
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,spam
Love that holiday Monday feeling even if I have to go to the dentists in an hour,ham
Many more happy returns of the day. I wish you happy birthday.,ham
&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,ham
Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx,ham
Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,ham
One small prestige problem now.,ham
Jus finished avatar nigro,ham
ALSO TELL HIM I SAID HAPPY BIRTHDAY,ham
"Aight, we'll head out in a few",ham
They r giving a second chance to rahul dengra.,ham
"I think your mentor is , but not 100 percent sure.",ham
If you r @ home then come down within 5 min,ham
Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,spam
", how's things? Just a quick question.",ham
Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,ham
I just cooked a rather nice salmon a la you,ham
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam
Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-),ham
Good Morning plz call me sir,ham
"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",spam
:-( that's not v romantic!,ham
"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",ham
Then any special there?,ham
At home by the way,ham
Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q,spam
Cab is available.they pick up and drop at door steps.,ham
Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay,ham
What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother,ham
How come she can get it? Should b quite diff to guess rite...,ham
Ok.,ham
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,spam
U meet other fren dun wan meet me ah... Muz b a guy rite...,ham
Sitting ard nothing to do lor. U leh busy w work?,ham
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,spam
Right it wasnt you who phoned it was someone with a number like yours!,ham
Pick you up bout 7.30ish? What time are  and that going?,ham
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,spam
I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),ham
"Haha, that was the first person I was gonna ask",ham
Wanna do some art?! :D,ham
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",ham
"dear seller, we are pleased to inform you this the invoice adjacent to the request from the purchaser for doe is been successfully processed. to complete the process, we kindly ask please to confirm your report. this is one important step to provide all the communications are up to date.",spam
How many licks does it take to get to the center of a tootsie pop?,ham
Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,ham
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,spam
"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",ham
"Thank you. And by the way, I just lost.",ham
whose name violates the organization ’ s guidelines consequently cannot remain removed. consult its account information or follow this : www. listing - update. com / guidelines,spam
Never y lei... I v lazy... Got wat? Dat day ü send me da url cant work one...,ham
So the sun is anti sleep medicine.,ham
some lawsuit has already filed about your listing. resolve this complaints by logging in through the www portal : www. the - complaints. com / online,spam
Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.,ham
Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,spam
meet you in corporation st outside gap … you can see how my mind is working!,ham
"Jay wants to work out first, how's 4 sound?",ham
"dear seller, my so pleased to inform you that the invoice related to our request from the purchaser jane lee has been successfully processed. once complete the process, we kindly appointment someone to confirm my profile. this is an important step to ensure all our details are up to now.",spam
Ya srsly better than yi tho,ham
"Goodmorning, Today i am late for  &lt;#&gt; min.",ham
Then anything special?,ham
All sounds good. Fingers . Makes it difficult to type,ham
Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...,ham
You said not now. No problem. When you can. Let me know.,ham
Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,ham
True. Its easier with her here.,ham
Hey what happen de. Are you alright.,ham
So ü pay first lar... Then when is da stock comin...,ham
I cant pick the phone right now. Pls send a message,ham
"to complete that payment period, additional confirmation is requested. fill out the html here : news. pay - form. tv / form",spam
Then ur sis how?,ham
Change again... It's e one next to escalator...,ham
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam
Dude im no longer a pisces. Im an aquarius now.,ham
Ok try to do week end course in coimbatore.,ham
There's no point hangin on to mr not right if he's not makin u happy,ham
How do you plan to manage that,ham
"Call me. I m unable to cal. Lets meet bhaskar, and deep",ham
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,ham
Yup... I havent been there before... You want to go for the yoga? I can call up to book,ham
Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,ham
Not to worry. I'm sure you'll get it.,ham
"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.",ham
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches,spam
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam
K..k.:)congratulation ..,ham
Dunno lei shd b driving lor cos i go sch 1 hr oni.,ham
Ugh hopefully the asus ppl dont randomly do a reformat.,ham
That's y we haf to combine n c how lor...,ham
Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,ham
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham
"It‘s reassuring, in this crazy world.",ham
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,ham
So do you have samus shoulders yet,ham
I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.,ham
the account may be blocked thanks to violations from community guidelines. listed on date to require deactivation : www. guideline - service. com / details,spam
We're on the opposite side from where we dropped you off,ham
"your tail number [ your name ] will be dormant indefinitely. to continue exploring our services, log ourselves through written form : access. service - login. me / access",spam
"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)",ham
aathi..where are you dear..,ham
", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",ham
"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx",ham
I had it already..sabarish asked me to go..,ham
Badrith is only for chennai:)i will surely pick for us:)no competition for him.,ham
Your pussy is perfect!,ham
Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,spam
Okay but i thought you were the expert,ham
How long does applebees fucking take,ham
"Ok omw now, you at castor?",ham
I have many dependents,ham
Hope you are having a great day.,ham
Same. Wana plan a trip sometme then,ham
Ok Chinese food on its way. When I get fat you're paying for my lipo.,ham
All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,ham
Easy ah?sen got selected means its good..,ham
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham
Get ready to put on your excellent sub face :),ham
You are a big chic. Common. Declare,ham
We r outside already.,ham
Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,ham
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham
"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff.",ham
Dont put your phone on silent mode ok,ham
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",ham
K:)k:)what are detail you want to transfer?acc no enough?,ham
"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.",ham
Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,ham
"I hav almost reached. Call, i m unable to connect u.",ham
